Date,CI Long Risk,CI Long Other,CI Long Total,CI Long Risk Change,CI Long Other Change,CI Long Total Change,CI Long Risk POI,CI Long Other POI,CI Long Total POI,CI Short Risk,CI Short Other,CI Short Total,CI Short Risk Change,CI Short Other Change,CI Short Total Change,CI Short Risk POI,CI Short Other POI,CI Short Total POI,IF Long Risk,IF Long Other,IF Long Total,IF Long Risk Change,IF Long Other Change,IF Long Total Change,IF Long Risk POI,IF Long Other POI,IF Long Total POI,IF Short Risk,IF Short Other,IF Short Total,IF Short Risk Change,IF Short Other Change,IF Short Total Change,IF Short Risk POI,IF Short Other POI,IF Short Total POI,OFI Long Risk,OFI Long Other,OFI Long Total,OFI Long Risk Change,OFI Long Other Change,OFI Long Total Change,OFI Long Risk POI,OFI Long Other POI,OFI Long Total POI,OFI Short Risk,OFI Short Other,OFI Short Total,OFI Short Risk Change,OFI Short Other Change,OFI Short Total Change,OFI Short Risk POI,OFI Short Other POI,OFI Short Total POI,CU Long Risk,CU Long Other,CU Long Total,CU Long Risk Change,CU Long Other Change,CU Long Total Change,CU Long Risk POI,CU Long Other POI,CU Long Total POI,CU Short Risk,CU Short Other,CU Short Total,CU Short Risk Change,CU Short Other Change,CU Short Total Change,CU Short Risk POI,CU Short Other POI,CU Short Total POI
2021-11-19,36807.74,470688.35,507496.09,1315.26,-14078.05,-12762.79,0.0368,0.4701,0.5069,45365.59,419748.33,465113.92,1282.61,-12083.64,-10801.03,0.0454,0.4201,0.4655,41,142806.05,142847.05,7,4650.86,4657.86,0,0.1426,0.1426,0,30577.49,30577.49,0,-1034.86,-1034.86,0,0.0306,0.0306,1676,84855.95,86531.95,-1576,-8510.64,-10086.64,0.0017,0.0848,0.0865,8218,71797.35,80015.35,-1082,-4476.34,-5558.34,0.0082,0.0719,0.0801,190403.39,73967.35,264370.74,-28052.66,-5202.88,-33255.54,0.1902,0.0739,0.2641,303852.09,119533.87,423385.96,-26937.59,-8943.47,-35881.06,0.3041,0.1196,0.4237
2021-11-26,33008.38,467913.14,500921.52,-3799.36,-2775.21,-6574.57,0.0332,0.471,0.5042,43816.11,416223.01,460039.12,-1549.48,-3525.32,-5074.8,0.0443,0.4204,0.4647,24,141918.67,141942.67,-17,-884.38,-901.38,0,0.1429,0.1429,0,27724.44,27724.44,0,-2853.05,-2853.05,0,0.028,0.028,2251,85947.75,88198.75,575,969.9,1544.9,0.0023,0.0865,0.0888,8520,74922.89,83442.89,302,3125.54,3427.54,0.0086,0.0757,0.0843,187231.86,75089.64,262321.5,-3171.53,1122.29,-2049.24,0.1885,0.0756,0.2641,298980.95,119851.94,418832.89,-4871.14,318.07,-4553.07,0.302,0.1211,0.4231
2021-12-03,33243.68,435377.47,468621.15,235.3,-32527.67,-32292.37,0.0347,0.454,0.4887,45808.1,396815.52,442623.62,1991.99,-19399.49,-17407.5,0.0477,0.4136,0.4613,54,137440.34,137494.34,30,-4478.33,-4448.33,0.0001,0.1433,0.1434,0,25867.18,25867.18,0,-1857.26,-1857.26,0,0.027,0.027,3309,86728.12,90037.12,1058,780.37,1838.37,0.0035,0.0904,0.0939,7743,64219.65,71962.65,-777,-10703.24,-11480.24,0.0081,0.0669,0.075,186981.84,75845.11,262826.95,-250.02,747.47,497.45,0.195,0.0791,0.2741,295218.45,123811.42,419029.87,-3762.5,3951.48,188.98,0.3077,0.129,0.4367
2021-12-10,33209.75,439542.39,472752.14,-33.93,4168.92,4134.99,0.0344,0.4557,0.4901,46781.03,398352.33,445133.36,972.93,1540.81,2513.74,0.0485,0.4129,0.4614,46,133028.44,133074.44,-8,-4411.9,-4419.9,0,0.1379,0.1379,0,28860.45,28860.45,0,2993.27,2993.27,0,0.0299,0.0299,2958,92390.48,95348.48,-351,5662.36,5311.36,0.0031,0.0958,0.0989,7783,64010.31,71793.31,40,-209.34,-169.34,0.0081,0.0663,0.0744,183852.88,79454.29,263307.17,-3128.96,3609.18,480.22,0.1906,0.0824,0.273,293238.06,125712.06,418950.12,-1980.39,1900.64,-79.75,0.304,0.1303,0.4343
2022-01-21,30524.03,451439.44,481963.47,-1498.57,2545.07,1046.5,0.0326,0.4825,0.5151,40574,454390.16,494964.16,270.2,-3696.6,-3426.4,0.0433,0.4851,0.5284,0,171839.91,171839.91,0,13367.38,13367.38,0,0.1837,0.1837,8,21634.3,21642.3,-5,-4588.42,-4593.42,0,0.0231,0.0231,2564,66566.79,69130.79,287,-11692.85,-11405.85,0.0027,0.0712,0.0739,6633,21457.98,28090.98,189,417.22,606.22,0.0071,0.0229,0.03,131096.19,81552.83,212649.02,-29038.15,-7580.33,-36618.48,0.1401,0.0872,0.2273,238634.06,153448.82,392082.88,-25891.42,407.22,-25484.2,0.2547,0.1638,0.4185
2022-01-28,30301.08,456975.14,487276.22,-222.95,5535.7,5312.75,0.0318,0.4788,0.5106,38808.75,459019.72,497828.47,-1765.25,4629.56,2864.31,0.0406,0.48,0.5206,3,167737.99,167740.99,3,-4101.92,-4098.92,0,0.1758,0.1758,0,22775,22775,-8,1140.7,1132.7,0,0.0238,0.0238,2574,73384.31,75958.31,10,6817.52,6827.52,0.0027,0.0769,0.0796,6545,22196.1,28741.1,-88,738.12,650.12,0.0068,0.0232,0.03,139522.06,83854.1,223376.16,8425.87,2301.27,10727.14,0.1462,0.0879,0.2341,250906.55,155988.97,406895.52,12272.49,2540.15,14812.64,0.2624,0.1631,0.4255
2022-02-04,29464.52,421749.37,451213.89,-836.56,-35229.77,-36066.33,0.0316,0.453,0.4846,38379.53,427359.21,465738.74,-429.22,-31660.51,-32089.73,0.0412,0.4584,0.4996,23,170871.68,170894.68,20,3133.69,3153.69,0,0.1835,0.1835,0,20688.42,20688.42,0,-2086.58,-2086.58,0,0.0222,0.0222,2500,67404.09,69904.09,-74,-5980.22,-6054.22,0.0027,0.0724,0.0751,5763,23217.3,28980.3,-782,1021.2,239.2,0.0062,0.0249,0.0311,152990.35,85984.93,238975.28,13218.29,2130.83,15349.12,0.1643,0.0924,0.2567,259933.18,156864.12,416797.3,8559.63,875.15,9434.78,0.2788,0.1683,0.4471
2022-02-11,30548.92,447751.69,478300.61,1084.4,26002.32,27086.72,0.0314,0.4604,0.4918,39667.52,451780.27,491447.79,1287.99,24421.06,25709.05,0.0406,0.4626,0.5032,0,172158.8,172158.8,-23,1287.12,1264.12,0,0.177,0.177,18,23240.04,23258.04,18,2551.62,2569.62,0,0.0238,0.0238,2315,65642.13,67957.13,-185,-1761.96,-1946.96,0.0024,0.0675,0.0699,5134,26228.98,31362.98,-629,3011.68,2382.68,0.0053,0.0269,0.0322,163736.57,90366.94,254103.51,10746.22,4382.01,15128.23,0.1684,0.0929,0.2613,271409.45,159066.95,430476.4,11476.27,2202.83,13679.1,0.2779,0.1629,0.4408
2022-02-18,28601.86,448132.95,476734.81,-1947.06,346.26,-1600.8,0.0297,0.4652,0.4949,38746.18,451802.87,490549.05,-921.34,25.6,-895.74,0.0401,0.4681,0.5082,0,177711.12,177711.12,0,5552.32,5552.32,0,0.1845,0.1845,2,27227.77,27229.77,-16,3987.73,3971.73,0,0.0282,0.0282,2224,64869.56,67093.56,-91,-772.57,-863.57,0.0023,0.0673,0.0696,4509,26516.14,31025.14,-625,287.16,-337.84,0.0047,0.0275,0.0322,152539.03,89181.63,241720.66,-11197.54,-1265.31,-12462.85,0.1584,0.0926,0.251,259704.73,156621.6,416326.33,-11704.72,-2525.35,-14230.07,0.2691,0.1623,0.4314
2022-02-25,28127.62,460091.48,488219.1,-474.24,11958.53,11484.29,0.029,0.4742,0.5032,38677.7,456050.08,494727.78,-68.48,4247.21,4178.73,0.0398,0.4693,0.5091,0,171538.87,171538.87,0,-6172.25,-6172.25,0,0.1768,0.1768,23,28246.32,28269.32,21,1018.55,1039.55,0,0.0291,0.0291,2219,65849.48,68068.48,-5,979.92,974.92,0.0023,0.0679,0.0702,4431,29144.33,33575.33,-78,2628.19,2550.19,0.0046,0.03,0.0346,156527.27,85937.46,242464.73,3988.24,-3244.17,744.07,0.1613,0.0886,0.2499,256959.82,158294.43,415254.25,-2744.91,1672.83,-1072.08,0.2644,0.1629,0.4273
