Date,CI Long Risk,CI Long Other,CI Long Total,CI Long Risk Change,CI Long Other Change,CI Long Total Change,CI Long Risk POI,CI Long Other POI,CI Long Total POI,CI Short Risk,CI Short Other,CI Short Total,CI Short Risk Change,CI Short Other Change,CI Short Total Change,CI Short Risk POI,CI Short Other POI,CI Short Total POI,IF Long Risk,IF Long Other,IF Long Total,IF Long Risk Change,IF Long Other Change,IF Long Total Change,IF Long Risk POI,IF Long Other POI,IF Long Total POI,IF Short Risk,IF Short Other,IF Short Total,IF Short Risk Change,IF Short Other Change,IF Short Total Change,IF Short Risk POI,IF Short Other POI,IF Short Total POI,OFI Long Risk,OFI Long Other,OFI Long Total,OFI Long Risk Change,OFI Long Other Change,OFI Long Total Change,OFI Long Risk POI,OFI Long Other POI,OFI Long Total POI,OFI Short Risk,OFI Short Other,OFI Short Total,OFI Short Risk Change,OFI Short Other Change,OFI Short Total Change,OFI Short Risk POI,OFI Short Other POI,OFI Short Total POI,CU Long Risk,CU Long Other,CU Long Total,CU Long Risk Change,CU Long Other Change,CU Long Total Change,CU Long Risk POI,CU Long Other POI,CU Long Total POI,CU Short Risk,CU Short Other,CU Short Total,CU Short Risk Change,CU Short Other Change,CU Short Total Change,CU Short Risk POI,CU Short Other POI,CU Short Total POI
2021-11-19,6288,68247.45,74535.45,118,1013.42,1131.42,0.0419,0.4547,0.4966,2753.17,61548.62,64301.79,191.19,876.73,1067.92,0.0181,0.4046,0.4227,0,24648.95,24648.95,0,-918.18,-918.18,0,0.1642,0.1642,7,10613.14,10620.14,6,3164.57,3170.57,0,0.0698,0.0698,519,18529.72,19048.72,-351,-747.75,-1098.75,0.0035,0.1235,0.127,3514,8041.1,11555.1,-175,-560.31,-735.31,0.0231,0.0529,0.076,24487.47,7363.42,31850.89,2475.01,-168.47,2306.54,0.1632,0.0491,0.2123,58596.64,7064.91,65661.55,-132.97,44.86,-88.11,0.3852,0.0464,0.4316
2021-11-26,6069,64829.18,70898.18,-219,-3456.27,-3675.27,0.042,0.4491,0.4911,2018.75,58884.21,60902.96,-734.42,-2685.3,-3419.72,0.0138,0.4036,0.4174,0,22486.7,22486.7,0,-2162.25,-2162.25,0,0.1558,0.1558,1,10354.07,10355.07,-6,-259.07,-265.07,0,0.071,0.071,519,17470.97,17989.97,0,-1058.75,-1058.75,0.0036,0.121,0.1246,3280,7435.08,10715.08,-234,-606.02,-840.02,0.0225,0.051,0.0735,24959.91,8016.57,32976.48,472.44,653.15,1125.59,0.1729,0.0555,0.2284,56783.17,7130.1,63913.27,-1813.47,65.19,-1748.28,0.3892,0.0489,0.4381
2021-12-03,5314,62933.83,68247.83,-755,-1943.35,-2698.35,0.038,0.4503,0.4883,2075.84,57310.36,59386.2,57.09,-1621.85,-1564.76,0.0147,0.4064,0.4211,0,21485.76,21485.76,0,-1000.94,-1000.94,0,0.1537,0.1537,5,11364.37,11369.37,4,1010.3,1014.3,0,0.0806,0.0806,358,16247.55,16605.55,-161,-1223.42,-1384.42,0.0026,0.1163,0.1189,2673,6383.53,9056.53,-607,-1051.55,-1658.55,0.019,0.0453,0.0643,26483.66,6924.13,33407.79,1523.75,-1092.44,431.31,0.1895,0.0495,0.239,55289.92,5925.81,61215.73,-1493.25,-1204.29,-2697.54,0.392,0.042,0.434
2021-12-10,6132.14,65468.52,71600.66,818.14,2535.69,3353.83,0.0426,0.4547,0.4973,2304.49,60831.04,63135.53,228.65,3521.68,3750.33,0.0157,0.4147,0.4304,1,19345.75,19346.75,1,-2140.01,-2139.01,0,0.1344,0.1344,0,11333.85,11333.85,-5,-30.52,-35.52,0,0.0773,0.0773,265,15198.68,15463.68,-93,-1048.87,-1141.87,0.0018,0.1056,0.1074,2649,6221.08,8870.08,-24,-162.45,-186.45,0.0181,0.0424,0.0605,29268.84,8308.11,37576.95,2785.18,1383.98,4169.16,0.2033,0.0577,0.261,55992.31,7345.15,63337.46,702.39,1419.34,2121.73,0.3817,0.0501,0.4318
2022-01-21,5617,64457.19,70074.19,-414,-3022.39,-3436.39,0.0452,0.5183,0.5635,2781.8,56687.42,59469.22,315,-3788.52,-3473.52,0.022,0.4482,0.4702,0,23048.59,23048.59,-3,366.1,363.1,0,0.1853,0.1853,0,9985.8,9985.8,0,-400.51,-400.51,0,0.079,0.079,177,9853,10030,-121,-467,-588,0.0014,0.0792,0.0806,2256,2183,4439,-255,-77,-332,0.0178,0.0173,0.0351,14224.59,6981.25,21205.84,-2906.24,-760.24,-3666.48,0.1144,0.0561,0.1705,46268.47,6305.78,52574.25,-2106.97,-943.5,-3050.47,0.3659,0.0499,0.4158
2022-01-28,5719,64115.23,69834.23,102,-279.96,-177.96,0.0457,0.5118,0.5575,2718.68,57238.79,59957.47,-63.12,613.37,550.25,0.0214,0.4498,0.4712,0,22963.85,22963.85,0,-84.74,-84.74,0,0.1833,0.1833,3,12039.27,12042.27,3,2053.47,2056.47,0,0.0946,0.0946,177,10066,10243,0,213,213,0.0014,0.0804,0.0818,2190,1976,4166,-66,-207,-273,0.0172,0.0155,0.0327,16083.24,6145.93,22229.17,1858.65,-835.32,1023.33,0.1284,0.0491,0.1775,45651.87,5437.19,51089.06,-616.6,-868.59,-1485.19,0.3587,0.0427,0.4014
2022-02-04,5768,74406.96,80174.96,49,10320.73,10369.73,0.044,0.5676,0.6116,2507.43,64321.31,66828.74,-211.25,7111.52,6900.27,0.019,0.4864,0.5054,0,18198.45,18198.45,0,-4765.4,-4765.4,0,0.1388,0.1388,4,13909.64,13913.64,1,1870.37,1871.37,0,0.1052,0.1052,272,6966,7238,95,-3100,-3005,0.0021,0.0531,0.0552,2275,1705,3980,85,-271,-186,0.0172,0.0129,0.0301,18592.81,6895.5,25488.31,2488.57,749.57,3238.14,0.1418,0.0526,0.1944,41949.17,5575.01,47524.18,-3702.7,137.82,-3564.88,0.3172,0.0422,0.3594
2022-02-11,6357,78642.75,84999.75,589,4235.79,4824.79,0.0475,0.5874,0.6349,2627.29,69337.62,71964.91,119.86,5016.31,5136.17,0.0194,0.5107,0.5301,0,15311.61,15311.61,0,-2886.84,-2886.84,0,0.1144,0.1144,1,12706,12707,-3,-1203.64,-1206.64,0,0.0936,0.0936,372,7287.98,7659.98,100,321.98,421.98,0.0028,0.0544,0.0572,2556,1585,4141,281,-120,161,0.0188,0.0117,0.0305,18922.68,6992.17,25914.85,329.87,96.67,426.54,0.1413,0.0522,0.1935,41495.01,5449.97,46944.98,-454.16,-125.04,-579.2,0.3057,0.0401,0.3458
2022-02-18,5105,76011.21,81116.21,-1252,-2631.54,-3883.54,0.0379,0.5646,0.6025,2622.71,67462.55,70085.26,-4.58,-1875.07,-1879.65,0.0192,0.4928,0.512,1,20066.92,20067.92,1,4755.31,4756.31,0,0.149,0.149,0,11868.24,11868.24,-1,-837.76,-838.76,0,0.0867,0.0867,382,8297.98,8679.98,10,1010,1020,0.0028,0.0616,0.0644,1710,1596,3306,-846,11,-835,0.0125,0.0117,0.0242,17509.28,7262.61,24771.89,-1413.4,270.44,-1142.96,0.13,0.0539,0.1839,45514.14,6132.54,51646.68,4019.13,682.57,4701.7,0.3324,0.0448,0.3772
2022-02-25,5374,76963.42,82337.42,269,952.21,1221.21,0.0384,0.55,0.5884,3077.47,68354.52,71431.99,454.76,891.97,1346.73,0.0216,0.4807,0.5023,0,22300.19,22300.19,-1,2233.27,2232.27,0,0.1594,0.1594,1,10769.3,10770.3,1,-1098.94,-1097.94,0,0.0757,0.0757,478,8225.98,8703.98,96,-72,24,0.0034,0.0588,0.0622,1889,1601,3490,179,5,184,0.0133,0.0113,0.0246,18769.35,7832.55,26601.9,1260.07,569.94,1830.01,0.1341,0.056,0.1901,49240.33,7273.63,56513.96,3726.19,1141.09,4867.28,0.3463,0.0511,0.3974
