Date,CI Long Risk,CI Long Other,CI Long Total,CI Long Risk Change,CI Long Other Change,CI Long Total Change,CI Long Risk POI,CI Long Other POI,CI Long Total POI,CI Short Risk,CI Short Other,CI Short Total,CI Short Risk Change,CI Short Other Change,CI Short Total Change,CI Short Risk POI,CI Short Other POI,CI Short Total POI,IF Long Risk,IF Long Other,IF Long Total,IF Long Risk Change,IF Long Other Change,IF Long Total Change,IF Long Risk POI,IF Long Other POI,IF Long Total POI,IF Short Risk,IF Short Other,IF Short Total,IF Short Risk Change,IF Short Other Change,IF Short Total Change,IF Short Risk POI,IF Short Other POI,IF Short Total POI,OFI Long Risk,OFI Long Other,OFI Long Total,OFI Long Risk Change,OFI Long Other Change,OFI Long Total Change,OFI Long Risk POI,OFI Long Other POI,OFI Long Total POI,OFI Short Risk,OFI Short Other,OFI Short Total,OFI Short Risk Change,OFI Short Other Change,OFI Short Total Change,OFI Short Risk POI,OFI Short Other POI,OFI Short Total POI,CU Long Risk,CU Long Other,CU Long Total,CU Long Risk Change,CU Long Other Change,CU Long Total Change,CU Long Risk POI,CU Long Other POI,CU Long Total POI,CU Short Risk,CU Short Other,CU Short Total,CU Short Risk Change,CU Short Other Change,CU Short Total Change,CU Short Risk POI,CU Short Other POI,CU Short Total POI
2021-11-19,14365.44,134699.37,149064.81,-289.35,-3971.51,-4260.86,0.0526,0.4933,0.5459,6288.76,156114.56,162403.32,-514.16,-7827.2,-8341.36,0.0231,0.5733,0.5964,12,45321.38,45333.38,-3,1729.89,1726.89,0,0.166,0.166,0,8528.09,8528.09,0,544.93,544.93,0,0.0313,0.0313,1968,34249.44,36217.44,-1226,-1654.59,-2880.59,0.0072,0.1254,0.1326,7158,12940.26,20098.26,-714,-419.38,-1133.38,0.0263,0.0475,0.0738,32347.27,10084.79,42432.06,-6215.59,-398.33,-6613.92,0.1185,0.0369,0.1554,70944.87,10329.27,81274.14,-2975.03,-230.3,-3205.33,0.2605,0.0379,0.2984
2021-11-26,14976.05,142223.52,157199.57,610.61,7524.15,8134.76,0.0519,0.4925,0.5444,6302,165578.07,171880.07,13.24,9463.51,9476.75,0.0219,0.5761,0.598,10,47184.49,47194.49,-2,1864.11,1862.11,0,0.1634,0.1634,0,7818.91,7818.91,0,-709.18,-709.18,0,0.0272,0.0272,2277,35235.73,37512.73,309,986.29,1295.29,0.0079,0.122,0.1299,7540,14568.61,22108.61,382,1628.35,2010.35,0.0262,0.0507,0.0769,34527.3,12335.85,46863.15,2180.03,2251.06,4431.09,0.1196,0.0427,0.1623,74775.42,10839.84,85615.26,3830.55,510.57,4341.12,0.2602,0.0377,0.2979
2021-12-03,15421,135266.93,150687.93,444.95,-6956.59,-6511.64,0.0542,0.4757,0.5299,7015,161891.09,168906.09,713,-3686.98,-2973.98,0.0246,0.5687,0.5933,11,47890.28,47901.28,1,705.79,706.79,0,0.1684,0.1684,0,9028.38,9028.38,0,1209.47,1209.47,0,0.0317,0.0317,2240,35788.89,38028.89,-37,553.16,516.16,0.0079,0.1259,0.1338,7574,15166.78,22740.78,34,598.17,632.17,0.0266,0.0533,0.0799,34998.4,12727.65,47726.05,471.1,391.8,862.9,0.1231,0.0448,0.1679,72970.2,11039,84009.2,-1805.22,199.16,-1606.06,0.2563,0.0388,0.2951
2021-12-10,15150,133225.6,148375.6,-271,-2041.33,-2312.33,0.0538,0.4727,0.5265,7127.8,161267.43,168395.23,112.8,-623.66,-510.86,0.0252,0.5712,0.5964,10,46915.85,46925.85,-1,-974.43,-975.43,0,0.1665,0.1665,0,8531.08,8531.08,0,-497.3,-497.3,0,0.0302,0.0302,2726,39126,41852,486,3337.11,3823.11,0.0097,0.1388,0.1485,7737,14099.04,21836.04,163,-1067.74,-904.74,0.0274,0.0499,0.0773,32237.57,12432.69,44670.26,-2760.83,-294.96,-3055.79,0.1144,0.0441,0.1585,71754.85,11815.02,83569.87,-1215.35,776.02,-439.33,0.2542,0.0418,0.296
2022-01-21,11961,156010.35,167971.35,-2407,5088.1,2681.1,0.0423,0.5516,0.5939,5831.22,167970.41,173801.63,120.76,-1348.14,-1227.38,0.0207,0.5951,0.6158,9,50029.68,50038.68,-7,-949.29,-956.29,0,0.1769,0.1769,0,9258.87,9258.87,0,383.12,383.12,0,0.0328,0.0328,1208,21827.08,23035.08,-934,-2543.48,-3477.48,0.0043,0.0772,0.0815,2789,5904.92,8693.92,-2605,-514.06,-3119.06,0.0099,0.0209,0.0308,29457.94,12316.29,41774.23,-5986.42,-1157.72,-7144.14,0.1042,0.0435,0.1477,77424.4,13083.36,90507.76,-3429.67,-843.78,-4273.45,0.2743,0.0464,0.3207
2022-01-28,11307,157429.92,168736.92,-654,1419.57,765.57,0.0401,0.5578,0.5979,6556.71,166726.25,173282.96,725.49,-1244.16,-518.67,0.0232,0.5902,0.6134,16,49103.15,49119.15,7,-926.53,-919.53,0.0001,0.174,0.1741,0,9336.8,9336.8,0,77.93,77.93,0,0.0331,0.0331,1673,22510.82,24183.82,465,683.74,1148.74,0.0059,0.0798,0.0857,2391,6705.77,9096.77,-398,800.85,402.85,0.0085,0.0237,0.0322,29555.48,10641,40196.48,97.54,-1675.29,-1577.75,0.1047,0.0377,0.1424,77625.04,13153.57,90778.61,200.64,70.21,270.85,0.2748,0.0466,0.3214
2022-02-04,11271,153544.14,164815.14,-36,-3888.78,-3924.78,0.0405,0.5511,0.5916,6256.32,161707.91,167964.23,-300.39,-5018.34,-5318.73,0.0225,0.5821,0.6046,16,50375.45,50391.45,0,1272.3,1272.3,0.0001,0.1808,0.1809,0,9636.45,9636.45,0,299.65,299.65,0,0.0347,0.0347,1719,21814.88,23533.88,46,-695.94,-649.94,0.0062,0.0783,0.0845,2405,7093.77,9498.77,14,388,402,0.0087,0.0255,0.0342,28923.49,10936.88,39860.37,-631.99,295.88,-336.11,0.1038,0.0393,0.1431,76709.59,13972.51,90682.1,-940.45,818.94,-121.51,0.2762,0.0503,0.3265
2022-02-11,12503,160224.68,172727.68,1232,6678.54,7910.54,0.044,0.5636,0.6076,7844.56,166687.58,174532.14,1588.24,4977.67,6565.91,0.0275,0.5853,0.6128,18,49121.72,49139.72,2,-1253.73,-1251.73,0.0001,0.1728,0.1729,0,8611.04,8611.04,0,-1025.41,-1025.41,0,0.0302,0.0302,2281,20452.82,22733.82,562,-1362.06,-800.06,0.008,0.0719,0.0799,2886,7424.77,10310.77,481,331,812,0.0101,0.0261,0.0362,26956.48,12749.74,39706.22,-1967.01,1812.86,-154.15,0.0948,0.0448,0.1396,76024.46,15288.85,91313.31,-685.13,1316.34,631.21,0.267,0.0537,0.3207
2022-02-18,11001,158642.87,169643.87,-1502,-1581.81,-3083.81,0.0386,0.5569,0.5955,8033.15,164020.92,172054.07,188.59,-2666.66,-2478.07,0.0282,0.5758,0.604,17,51477.82,51494.82,-1,2356.1,2355.1,0.0001,0.1807,0.1808,0,9159.41,9159.41,0,548.37,548.37,0,0.0322,0.0322,2575,19754.7,22329.7,294,-698.12,-404.12,0.009,0.0694,0.0784,3011,7100.77,10111.77,125,-324,-199,0.0106,0.0249,0.0355,28899.02,12486.11,41385.13,1942.54,-263.63,1678.91,0.1015,0.0438,0.1453,78449.98,15106.06,93556.04,2425.52,-182.79,2242.73,0.2754,0.053,0.3284
2022-02-25,10868,159670.01,170538.01,-133,1027.14,894.14,0.038,0.558,0.596,7701.19,163841.4,171542.59,-331.96,-179.52,-511.48,0.0268,0.5703,0.5971,16,51338.68,51354.68,-1,-139.14,-140.14,0.0001,0.1794,0.1795,0,9477.66,9477.66,0,318.25,318.25,0,0.033,0.033,2488,19860.26,22348.26,-87,105.56,18.56,0.0087,0.0694,0.0781,3302,7995.66,11297.66,291,894.89,1185.89,0.0115,0.0278,0.0393,30142.89,11769.09,41911.98,1243.87,-717.02,526.85,0.1053,0.0411,0.1464,80704.48,14290.45,94994.93,2254.5,-815.61,1438.89,0.2809,0.0497,0.3306
